Identifier,StructureData,Polymer EntityData,,,
Entry ID,Stucture Keywords,Entity Polymer Type,Asym ID,Source Organism,
"1A9L","RNA","RNA","A"
,,,"N"
,,"Protein","PC","Saccharomyces cerevisiae"
,,,"O"
,,"Protein","P","Saccharomyces cerevisiae"
,,,"QC"
,,"Protein","Q","Saccharomyces cerevisiae"
,,,"RC"
,,"Protein","R","Saccharomyces cerevisiae"
,,,"SC"
,,"Protein","TC","Saccharomyces cerevisiae"
,,,"S"
,,"Protein","T","Saccharomyces cerevisiae"
,,,"UC"
,,"Protein","U","Saccharomyces cerevisiae"
,,,"VC"
,,"Protein","V","Saccharomyces cerevisiae"
,,,"WC"
,,"Protein","W","Saccharomyces cerevisiae"
,,,"XC"
,,"Protein","X","Saccharomyces cerevisiae"
,,,"YC"
,,"Protein","Y","Saccharomyces cerevisiae"
,,,"ZC"
,,"Protein","AD","Saccharomyces cerevisiae"
,,,"Z"
,,"Protein","AA","Saccharomyces cerevisiae"
,,,"BD"
,,"Protein","BA","Saccharomyces cerevisiae"
,,,"CD"
,,"Protein","CA","Saccharomyces cerevisiae"
,,,"DD"
,,"Protein","DA","Saccharomyces cerevisiae"
,,,"ED"
,,"Protein","EA","Saccharomyces cerevisiae"
,,,"FD"
,,"Protein","FA","Saccharomyces cerevisiae"
,,,"GD"
,,"Protein","HD","Saccharomyces cerevisiae"
,,,"GA"
,,"Protein","HA","Saccharomyces cerevisiae"
,,"Protein","IA","Saccharomyces cerevisiae"
,,"RNA","JA","Saccharomyces cerevisiae"
,,"RNA","KA","Saccharomyces cerevisiae"
,,,"LD"
,,"RNA","LA","Saccharomyces cerevisiae"
,,,"MD"
,,"Protein","MA","Saccharomyces cerevisiae"
,,,"ND"
,,"Protein","NA","Saccharomyces cerevisiae"
,,,"OD"
,,"Protein","OA","Saccharomyces cerevisiae"
,,,"PD"
,,"Protein","QD","Saccharomyces cerevisiae"
,,,"PA"
,,"Protein","QA","Saccharomyces cerevisiae"
,,,"RD"
,,"Protein","RA","Saccharomyces cerevisiae"
,,,"SD"
,,"Protein","SA","Saccharomyces cerevisiae"
,,"Protein","TA","Saccharomyces cerevisiae"
,,,"UD"
,,"Protein","UA","Saccharomyces cerevisiae"
,,,"VD"
,,"Protein","VA","Saccharomyces cerevisiae"
,,,"WD"
,,"Protein","WA","Saccharomyces cerevisiae"
,,,"YD"
,,"Protein","XA","Saccharomyces cerevisiae"
,,,"ZD"
,,"Protein","YA","Saccharomyces cerevisiae"
,,,"AE"
,,"Protein","BE","Saccharomyces cerevisiae"
,,,"ZA"
,,"Protein","CE","Saccharomyces cerevisiae"
,,,"AB"
,,"Protein","BB","Saccharomyces cerevisiae"
,,,"DE"
,,"Protein","EE","Saccharomyces cerevisiae"
,,,"CB"
,,"Protein","DB","Saccharomyces cerevisiae"
,,,"FE"
,,"Protein","EB","Saccharomyces cerevisiae"
,,,"GE"
,,"Protein","FB","Saccharomyces cerevisiae"
,,,"HE"
,,"Protein","GB","Saccharomyces cerevisiae"
,,,"IE"
,,"Protein","HB","Saccharomyces cerevisiae"
,,"Protein","IB","Saccharomyces cerevisiae"
,,,"KE"
,,"Protein","JB","Saccharomyces cerevisiae"
,,,"LE"
,,"Protein","KB","Saccharomyces cerevisiae"
,,,"ME"
,,"Protein","LB","Saccharomyces cerevisiae"
,,,"NE"
,,"Protein","MB","Saccharomyces cerevisiae"
,,,"OE"
,,"Protein","NB","Saccharomyces cerevisiae"
,,,"PE"
,,"Protein","QE","Saccharomyces cerevisiae"
,,,"OB"
,,"Protein","PB","Saccharomyces cerevisiae"
,,,"RE"
,,"Protein","QB","Saccharomyces cerevisiae"
,,,"SE"
,,"Protein","RB","Saccharomyces cerevisiae"
,,,"TE"
,,"Protein","SB","Saccharomyces cerevisiae"
,,,"UE"
,,"Protein","TB","Saccharomyces cerevisiae"
,,,"VE"
,,"Protein","UB","Saccharomyces cerevisiae"
,,,"WE"
,,"Protein","XE","Saccharomyces cerevisiae"
,,,"VB"
,,"Protein","WB","Saccharomyces cerevisiae"
,,,"YE"
,,"Protein","XB","Saccharomyces cerevisiae"
,,,"ZE"
,,"Protein","AF","Saccharomyces cerevisiae"
,,,"YB"
,,"Protein","BF","Saccharomyces cerevisiae"
,,,"ZB"
,,"Protein","AC","Saccharomyces cerevisiae"
,,,"CF"
,,"RNA","BC","Saccharomyces cerevisiae"
,,"Protein","ID","Saccharomyces cerevisiae"
,,"Protein","JD","Saccharomyces cerevisiae"
,,"RNA","KD","Saccharomyces cerevisiae"
,,"Protein","TD","Saccharomyces cerevisiae"
,,"Protein","XD","Saccharomyces cerevisiae"
,,"Protein","JE","Saccharomyces cerevisiae"
,,"Protein","DF","Saccharomyces cerevisiae"
,,"Protein","EF","Saccharomyces cerevisiae"
,,,"FF"
,,"RNA","GF","Homo sapiens"
,,,"HF"
"5TPY","RNA","RNA","A","Zika virus"
"5U3G","RNA","RNA","A","Dickeya dadantii"
"5U4I","RIBOSOME","RNA","A","Escherichia coli"
,,"RNA","B","Escherichia coli"
,,"Protein","C","Escherichia coli K-12"
,,"Protein","D","Escherichia coli K-12"
,,"Protein","E","Escherichia coli K-12"
,,"Protein","F","Escherichia coli K-12"
,,"Protein","G","Escherichia coli K-12"
,,"Protein","H","Escherichia coli K-12"
,,"Protein","I","Escherichia coli K-12"
,,"Protein","J","Escherichia coli K-12"
,,"Protein","K","Escherichia coli K-12"
,,"Protein","L","Escherichia coli K-12"
,,"Protein","M","Escherichia coli K-12"
,,"Protein","N","Escherichia coli K-12"
,,"Protein","O","Escherichia coli K-12"
,,"Protein","P","Escherichia coli K-12"
,,"Protein","Q","Escherichia coli K-12"
,,"Protein","R","Escherichia coli K-12"
,,"Protein","S","Escherichia coli K-12"
,,"Protein","T","Escherichia coli K-12"
,,"Protein","U","Escherichia coli K-12"
,,"Protein","V","Escherichia coli K-12"
,,"Protein","W","Escherichia coli K-12"
,,"Protein","X","Escherichia coli K-12"
,,"Protein","Y","Escherichia coli K-12"
,,"Protein","Z","Escherichia coli K-12"
,,"Protein","AA","Escherichia coli K-12"
,,"Protein","BA","Escherichia coli K-12"
,,"Protein","CA","Escherichia coli K-12"
,,"Protein","DA","Escherichia coli K-12"
,,"Protein","EA","Escherichia coli K-12"
,,"RNA","FA","Escherichia coli"
,,"Protein","GA","Escherichia coli K-12"
,,"Protein","HA","Escherichia coli K-12"
,,"Protein","IA","Escherichia coli K-12"
,,"Protein","JA","Escherichia coli K-12"
,,"Protein","KA","Escherichia coli K-12"
,,"Protein","LA","Escherichia coli K-12"
,,"Protein","MA","Escherichia coli K-12"
,,"Protein","NA","Escherichia coli K-12"
,,"Protein","OA","Escherichia coli K-12"
,,"Protein","PA","Escherichia coli K-12"
,,"Protein","QA","Escherichia coli K-12"
,,"Protein","RA","Escherichia coli K-12"
,,"Protein","SA","Escherichia coli K-12"
,,"Protein","TA","Escherichia coli K-12"
,,"Protein","UA","Escherichia coli K-12"
,,"Protein","VA","Escherichia coli K-12"
,,"Protein","WA","Escherichia coli K-12"
,,"Protein","XA","Escherichia coli K-12"
,,"Protein","YA","Escherichia coli K-12"
,,"Protein","ZA","Escherichia coli K-12"
,,"Protein","AB","Escherichia coli K-12"
,,"Protein","BB","Escherichia coli K-12"
,,"RNA","CB","Escherichia coli"
,,,"DB"
,,"RNA","EB","Escherichia coli"
"5UMD","RIBOSOME","RNA","A","Plasmodium falciparum 3D7"
,,"RNA","B","Plasmodium falciparum 3D7"
,,"RNA","C","Plasmodium falciparum 3D7"
,,"Protein","D","Plasmodium falciparum 3D7"
,,"Protein","E","Plasmodium falciparum 3D7"
,,"Protein","F","Plasmodium falciparum 3D7"
,,"Protein","G","Plasmodium falciparum 3D7"
,,"Protein","H","Plasmodium falciparum 3D7"
,,"Protein","I","Plasmodium falciparum 3D7"
,,"Protein","J","Plasmodium falciparum 3D7"
,,"Protein","K","Plasmodium falciparum 3D7"
,,"Protein","L","Plasmodium falciparum 3D7"
,,"Protein","M","Plasmodium falciparum 3D7"
,,"Protein","N","Plasmodium falciparum 3D7"
,,"Protein","O","Plasmodium falciparum 3D7"
,,"Protein","P","Plasmodium falciparum 3D7"
,,"Protein","Q","Plasmodium falciparum 3D7"
,,"Protein","R","Plasmodium falciparum 3D7"
,,"Protein","S","Plasmodium falciparum 3D7"
,,"Protein","T","Plasmodium falciparum 3D7"
,,"Protein","U","Plasmodium falciparum 3D7"
,,"Protein","V","Plasmodium falciparum 3D7"
,,"Protein","W","Plasmodium falciparum 3D7"
,,"Protein","X","Plasmodium falciparum 3D7"
,,"Protein","Y","Plasmodium falciparum 3D7"
,,"Protein","Z","Plasmodium falciparum 3D7"
,,"Protein","AA","Plasmodium falciparum 3D7"
,,"Protein","BA","Plasmodium falciparum 3D7"
,,"Protein","CA","Plasmodium falciparum 3D7"
,,"Protein","DA","Plasmodium falciparum 3D7"
,,"Protein","EA","Plasmodium falciparum 3D7"
,,"Protein","FA","Plasmodium falciparum 3D7"
,,"Protein","GA","Plasmodium falciparum 3D7"
,,"Protein","HA","Plasmodium falciparum 3D7"
,,"Protein","IA","Plasmodium falciparum 3D7"
,,"Protein","JA","Plasmodium falciparum 3D7"
,,"Protein","KA","Plasmodium falciparum 3D7"
,,"Protein","LA","Plasmodium falciparum 3D7"
,,"Protein","MA","Plasmodium falciparum 3D7"
,,"Protein","NA","Plasmodium falciparum 3D7"
,,"Protein","OA","Plasmodium falciparum 3D7"
,,"Protein","PA","Plasmodium falciparum 3D7"
,,"Protein","QA","Plasmodium falciparum 3D7"
,,"Protein","RA","Plasmodium falciparum 3D7"
,,"Protein","SA","Plasmodium falciparum 3D7"
"5UX3","RNA","RNA","A","synthetic construct"
,,"RNA","B","synthetic construct"
"5V0O","RNA","RNA","A","synthetic construct"
,,"RNA","B","synthetic construct"
"5V3I","RNA","RNA","A","Neurospora"
"5V8I","RIBOSOME","RNA","A","Thermus thermophilus HB27"
,,,"AB"
,,"RNA","B","Thermus thermophilus HB27"
,,,"BB"
,,"Protein","C","Thermus thermophilus HB27"
,,,"CB"
,,"Protein","D","Thermus thermophilus HB27"
,,,"DB"
,,"Protein","E","Thermus thermophilus HB27"
,,,"EB"
,,"Protein","F","Thermus thermophilus HB27"
,,,"FB"
,,"Protein","G","Thermus thermophilus HB27"
,,,"GB"
,,"Protein","H","Thermus thermophilus HB27"
,,,"HB"
,,"Protein","I","Thermus thermophilus HB27"
,,,"IB"
,,"Protein","J","Thermus thermophilus HB27"
,,,"JB"
,,"Protein","K","Thermus thermophilus HB27"
,,,"KB"
,,"Protein","L","Thermus thermophilus HB27"
,,,"LB"
,,"Protein","M","Thermus thermophilus HB27"
,,,"MB"
,,"Protein","N","Thermus thermophilus HB27"
,,,"NB"
,,"Protein","O","Thermus thermophilus HB27"
,,,"OB"
,,"Protein","P","Thermus thermophilus HB27"
,,,"PB"
,,"Protein","Q","Thermus thermophilus HB27"
,,,"QB"
,,"Protein","R","Thermus thermophilus HB27"
,,,"RB"
,,"Protein","S","Thermus thermophilus HB27"
,,,"SB"
,,"Protein","T","Thermus thermophilus HB27"
,,,"TB"
,,"Protein","U","Thermus thermophilus HB27"
,,,"UB"
,,"Protein","V","Thermus thermophilus HB27"
,,,"VB"
,,"Protein","W","Thermus thermophilus HB27"
,,,"WB"
,,"Protein","X","Thermus thermophilus HB27"
,,,"XB"
,,"Protein","Y","Thermus thermophilus HB27"
,,,"YB"
,,"Protein","Z","Thermus thermophilus HB27"
,,,"ZB"
,,"Protein","AC","Thermus thermophilus HB27"
,,,"AA"
,,"Protein","BA","Thermus thermophilus HB27"
,,,"BC"
,,"Protein","CA","Thermus thermophilus HB27"
,,,"CC"
,,"Protein","DA","Thermus thermophilus HB27"
,,,"DC"
,,"Protein","EA","Thermus thermophilus HB27"
,,,"EC"
,,"RNA","FA","Thermus thermophilus HB27"
,,,"FC"
,,"Protein","GA","Thermus thermophilus HB27"
,,,"GC"
,,"Protein","HA","Thermus thermophilus HB27"
,,,"HC"
,,"Protein","IA","Thermus thermophilus HB27"
,,,"IC"
,,"Protein","JA","Thermus thermophilus HB27"
,,,"JC"
,,"Protein","KA","Thermus thermophilus HB27"
,,,"KC"
,,"Protein","LA","Thermus thermophilus HB27"
,,,"LC"
,,"Protein","MA","Thermus thermophilus HB27"
,,,"MC"
,,"Protein","NA","Thermus thermophilus HB27"
,,,"NC"
,,"Protein","OA","Thermus thermophilus HB27"
,,,"OC"
,,"Protein","PA","Thermus thermophilus HB27"
,,,"PC"
,,"Protein","QA","Thermus thermophilus HB27"
,,,"QC"
,,"Protein","RA","Thermus thermophilus HB27"
,,,"RC"
,,"Protein","SC","Thermus thermophilus HB27"
,,,"SA"
,,"Protein","TA","Thermus thermophilus HB27"
,,,"TC"
,,"Protein","UA","Thermus thermophilus HB27"
,,,"UC"
,,"Protein","VA","Thermus thermophilus HB27"
,,,"VC"
,,"Protein","WA","Thermus thermophilus HB27"
,,,"WC"
,,"Protein","XC","Thermus thermophilus HB27"
,,,"XA"
,,"Protein","YA","Thermus thermophilus HB27"
,,,"YC"
,,"Protein","ZC","Escherichia coli K-12"
,,,"ZA"
"5V9Z","RNA","RNA","A","synthetic construct"
,,"RNA","B","synthetic construct"
"5VCF","RNA","RNA","A","synthetic construct"
,,"RNA","B","synthetic construct"
"5VCI","RNA","RNA","A","synthetic construct"
,,"RNA","B","synthetic construct"
"5VGW","RNA","RNA","A","synthetic construct"
,,"RNA","B","synthetic construct"
"5VW1","HYDROLASE","Protein","A","Streptococcus pyogenes serotype M1"
,,"RNA","B","Listeria monocytogenes"
,,"Protein","C","Listeria monocytogenes M7"
"5VYF","IMMUNE SYSTEM","Protein","A","Mus musculus"
,,,"D"
,,"Protein","B","Mus musculus"
,,,"E"
,,"Protein","C","Felis catus"
,,,"F"
"5WIS","RIBOSOME","RNA","A","Thermus thermophilus HB8"
,,,"EB"
,,"RNA","B","Thermus thermophilus HB8"
,,,"FB"
,,"Protein","C","Thermus thermophilus HB8"
,,,"GB"
,,"Protein","D","Thermus thermophilus HB8"
,,,"HB"
,,"Protein","E","Thermus thermophilus HB8"
,,,"IB"
,,"Protein","F","Thermus thermophilus HB8"
,,,"JB"
,,"Protein","G","Thermus thermophilus HB8"
,,,"KB"
,,"Protein","H","Thermus thermophilus HB8"
,,,"LB"
,,"Protein","I","Thermus thermophilus HB8"
,,,"MB"
,,"Protein","J","Thermus thermophilus HB8"
,,,"NB"
,,"Protein","K","Thermus thermophilus HB8"
,,,"OB"
,,"Protein","L","Thermus thermophilus HB8"
,,,"PB"
,,"Protein","M","Thermus thermophilus HB8"
,,,"QB"
,,"Protein","N","Thermus thermophilus HB8"
,,,"RB"
,,"Protein","O","Thermus thermophilus HB8"
,,,"SB"
,,"Protein","P","Thermus thermophilus HB8"
,,,"TB"
,,"Protein","Q","Thermus thermophilus HB8"
,,,"UB"
,,"Protein","R","Thermus thermophilus HB8"
,,,"VB"
,,"Protein","S","Thermus thermophilus HB8"
,,,"WB"
,,"Protein","T","Thermus thermophilus HB8"
,,,"XB"
,,"Protein","U","Thermus thermophilus HB8"
,,,"YB"
,,"Protein","V","Thermus thermophilus HB8"
,,,"ZB"
,,"Protein","AC","Thermus thermophilus HB8"
,,,"W"
,,"Protein","BC","Thermus thermophilus HB8"
,,,"X"
,,"Protein","CC","Thermus thermophilus HB8"
,,,"Y"
,,"Protein","DC","Thermus thermophilus HB8"
,,,"Z"
,,"Protein","AA","Thermus thermophilus HB8"
,,,"EC"
,,"Protein","BA","Thermus thermophilus HB8"
,,,"FC"
,,"Protein","CA","Thermus thermophilus HB8"
,,,"GC"
,,"Protein","DA","Thermus thermophilus"
,,,"HC"
,,"Protein","EA","Thermus thermophilus HB8"
,,,"IC"
,,"RNA","FA","Thermus thermophilus HB8"
,,,"JC"
,,"Protein","GA","Thermus thermophilus HB8"
,,,"KC"
,,"Protein","HA","Thermus thermophilus HB8"
,,,"LC"
,,"Protein","IA","Thermus thermophilus HB8"
,,,"MC"
,,"Protein","JA","Thermus thermophilus HB8"
,,,"NC"
,,"Protein","KA","Thermus thermophilus HB8"
,,,"OC"
,,"Protein","LA","Thermus thermophilus HB8"
,,,"PC"
,,"Protein","MA","Thermus thermophilus HB8"
,,,"QC"
,,"Protein","NA","Thermus thermophilus HB8"
,,,"RC"
,,"Protein","OA","Thermus thermophilus HB8"
,,,"SC"
,,"Protein","PA","Thermus thermophilus HB8"
,,,"TC"
,,"Protein","UC","Thermus thermophilus HB8"
,,,"QA"
,,"Protein","VC","Thermus thermophilus HB8"
,,,"RA"
,,"Protein","WC","Thermus thermophilus HB8"
,,,"SA"
,,"Protein","TA","Thermus thermophilus HB8"
,,,"XC"
,,"Protein","UA","Thermus thermophilus HB8"
,,,"YC"
,,"Protein","VA","Thermus thermophilus HB8"
,,,"ZC"
,,"Protein","AD","Thermus thermophilus HB8"
,,,"WA"
,,"Protein","BD","Thermus thermophilus HB8"
,,,"XA"
,,"Protein","CD","Thermus thermophilus HB8"
,,,"YA"
,,"Protein","ZA","Thermus thermophilus HB8"
,,,"DD"
,,"RNA","AB","Tequatrovirus T4"
,,,"ED"
,,"RNA","BB","Escherichia coli"
,,,"DB"
,,,"FD"
,,,"HD"
,,"RNA","CB","Escherichia coli"
,,,"GD"
"5WIT","RIBOSOME","RNA","A","Thermus thermophilus HB8"
,,,"EB"
,,"RNA","B","Thermus thermophilus HB8"
,,,"FB"
,,"Protein","C","Thermus thermophilus HB8"
,,,"GB"
,,"Protein","D","Thermus thermophilus HB8"
,,,"HB"
,,"Protein","E","Thermus thermophilus HB8"
,,,"IB"
,,"Protein","F","Thermus thermophilus HB8"
,,,"JB"
,,"Protein","G","Thermus thermophilus HB8"
,,,"KB"
,,"Protein","LB","Thermus thermophilus HB8"
,,,"H"
,,"Protein","I","Thermus thermophilus HB8"
,,,"MB"
,,"Protein","J","Thermus thermophilus HB8"
,,,"NB"
,,"Protein","K","Thermus thermophilus HB8"
,,,"OB"
,,"Protein","L","Thermus thermophilus HB8"
,,,"PB"
,,"Protein","M","Thermus thermophilus HB8"
,,,"QB"
,,"Protein","N","Thermus thermophilus HB8"
,,,"RB"
,,"Protein","O","Thermus thermophilus HB8"
,,,"SB"
,,"Protein","P","Thermus thermophilus HB8"
,,,"TB"
,,"Protein","Q","Thermus thermophilus HB8"
,,,"UB"
,,"Protein","R","Thermus thermophilus HB8"
,,,"VB"
,,"Protein","S","Thermus thermophilus HB8"
,,,"WB"
,,"Protein","T","Thermus thermophilus HB8"
,,,"XB"
,,"Protein","U","Thermus thermophilus HB8"
,,,"YB"
,,"Protein","V","Thermus thermophilus HB8"
,,,"ZB"
,,"Protein","AC","Thermus thermophilus HB8"
,,,"W"
,,"Protein","BC","Thermus thermophilus HB8"
,,,"X"
,,"Protein","CC","Thermus thermophilus HB8"
,,,"Y"
,,"Protein","DC","Thermus thermophilus HB8"
,,,"Z"
,,"Protein","AA","Thermus thermophilus HB8"
,,,"EC"
,,"Protein","BA","Thermus thermophilus HB8"
,,,"FC"
,,"Protein","CA","Thermus thermophilus HB8"
,,,"GC"
,,"Protein","DA","Thermus thermophilus HB8"
,,,"HC"
,,"Protein","EA","Thermus thermophilus HB8"
,,,"IC"
,,"RNA","FA","Thermus thermophilus HB8"
,,,"JC"
,,"Protein","GA","Thermus thermophilus HB8"
,,,"KC"
,,"Protein","HA","Thermus thermophilus HB8"
,,,"LC"
,,"Protein","IA","Thermus thermophilus HB8"
,,,"MC"
,,"Protein","JA","Thermus thermophilus HB8"
,,,"NC"
,,"Protein","KA","Thermus thermophilus HB8"
,,,"OC"
,,"Protein","LA","Thermus thermophilus HB8"
,,,"PC"
,,"Protein","MA","Thermus thermophilus HB8"
,,,"QC"
,,"Protein","NA","Thermus thermophilus HB8"
,,,"RC"
,,"Protein","OA","Thermus thermophilus HB8"
,,,"SC"
,,"Protein","PA","Thermus thermophilus HB8"
,,,"TC"
,,"Protein","QA","Thermus thermophilus HB8"
,,,"UC"
,,"Protein","RA","Thermus thermophilus HB8"
,,,"VC"
,,"Protein","SA","Thermus thermophilus HB8"
,,,"WC"
,,"Protein","TA","Thermus thermophilus HB8"
,,,"XC"
,,"Protein","UA","Thermus thermophilus HB8"
,,,"YC"
,,"Protein","VA","Thermus thermophilus HB8"
,,,"ZC"
,,"Protein","AD","Thermus thermophilus HB8"
,,,"WA"
,,"Protein","BD","Thermus thermophilus HB8"
,,,"XA"
,,"Protein","CD","Thermus thermophilus HB8"
,,,"YA"
,,"Protein","DD","Thermus thermophilus HB8"
,,,"ZA"
,,"RNA","AB","Tequatrovirus T4"
,,,"ED"
,,"RNA","BB","Escherichia coli"
,,,"FD"
,,"RNA","CB","Escherichia coli"
,,,"GD"
,,"RNA","DB","Escherichia coli"
,,,"HD"
"5WY5","METAL BINDING PROTEIN","Protein","A","Homo sapiens"
,,"Protein","B","Homo sapiens"
"5Y36","HYDROLASE/RNA/DNA","Protein","A","Streptococcus pyogenes serotype M1"
,,"RNA","B","Mus musculus"
,,"DNA","C","Mus musculus"
,,"DNA","D","Mus musculus"
"5YHZ","METAL BINDING PROTEIN","Protein","A","Lactococcus lactis subsp. lactis Il1403"
"6AEB","DNA BINDING PROTEIN/RNA","RNA","A","Streptococcus pyogenes"
,,,"E"
,,"DNA","B","Streptococcus pyogenes"
,,,"F"
,,"DNA","C","Streptococcus pyogenes"
,,,"G"
,,"Protein","D","Streptococcus pyogenes"
,,,"H"
"6AI6","HYDROLASE/RNA/DNA","Protein","A","Streptococcus pyogenes serotype M1"
,,"RNA","B","Streptococcus pyogenes"
,,"DNA","C","Streptococcus pyogenes"
,,"DNA","D","Streptococcus pyogenes"
"6AZ4","RNA","RNA","A","synthetic construct"
,,"RNA","B","synthetic construct"
"6BJX","RNA","RNA","A","Tetrahymena thermophila"
,,,"B"
"6BY1","RIBOSOME","RNA","A","Escherichia coli K-12"
,,,"FB"
,,"RNA","B","Escherichia coli K-12"
,,,"GB"
,,"RNA","HB","Escherichia coli K-12"
,,,"C"
,,"RNA","D","Escherichia coli K-12"
,,,"E"
,,,"IB"
,,,"LA"
,,,"OC"
,,"Protein","F","Escherichia coli K-12"
,,,"JB"
,,"Protein","G","Escherichia coli K-12"
,,,"KB"
,,"Protein","H","Escherichia coli K-12"
,,,"LB"
,,"Protein","I","Escherichia coli K-12"
,,,"MB"
,,"Protein","J","Escherichia coli K-12"
,,,"NB"
,,"Protein","K","Escherichia coli K-12"
,,,"OB"
,,"Protein","L","Escherichia coli K-12"
,,"Protein","M","Escherichia coli K-12"
,,,"PB"
,,"Protein","N","Escherichia coli K-12"
,,,"QB"
,,"Protein","O","Escherichia coli K-12"
,,,"RB"
,,"Protein","P","Escherichia coli K-12"
,,,"SB"
,,"Protein","Q","Escherichia coli K-12"
,,,"TB"
,,"Protein","R","Escherichia coli K-12"
,,,"UB"
,,"Protein","S","Escherichia coli K-12"
,,,"VB"
,,"Protein","T","Escherichia coli K-12"
,,,"WB"
,,"Protein","U","Escherichia coli K-12"
,,,"XB"
,,"Protein","V","Escherichia coli K-12"
,,,"YB"
,,"Protein","W","Escherichia coli K-12"
,,,"ZB"
,,"Protein","AC","Escherichia coli K-12"
,,,"X"
,,"Protein","BC","Escherichia coli K-12"
,,,"Y"
,,"Protein","CC","Escherichia coli K-12"
,,,"Z"
,,"Protein","AA","Escherichia coli K-12"
,,,"DC"
,,"Protein","BA","Escherichia coli K-12"
,,,"EC"
,,"Protein","CA","Escherichia coli K-12"
,,,"FC"
,,"Protein","DA","Escherichia coli K-12"
,,,"GC"
,,"Protein","EA","Escherichia coli K-12"
,,,"HC"
,,"Protein","FA","Escherichia coli K-12"
,,,"IC"
,,"Protein","GA","Escherichia coli K-12"
,,,"JC"
,,"Protein","HA","Escherichia coli K-12"
,,,"KC"
,,"Protein","IA","Escherichia coli K-12"
,,,"LC"
,,"Protein","JA","Escherichia coli K-12"
,,,"MC"
,,"RNA","KA","Escherichia coli"
,,,"NC"
,,"Protein","MA","Escherichia coli K-12"
,,,"PC"
,,"Protein","NA","Escherichia coli K-12"
,,,"QC"
,,"Protein","OA","Escherichia coli K-12"
,,,"RC"
,,"Protein","PA","Escherichia coli K-12"
,,,"SC"
,,"Protein","QA","Escherichia coli K-12"
